mtt,mu_pt,mu_abseta,weight,pileup
1804.2227817937382,97.56479,0.99487305,1.0,12.0
2086.4063480158707,74.73639,0.46044922,1.0,17.0
2816.1368475649465,864.27924,1.0551758,1.0,24.0
1920.4925084338784,64.2321,1.1481934,1.0,14.0
954.0351078593347,64.780815,1.5300293,1.0,20.0
2167.2816880337054,116.132835,0.9388428,1.0,18.0
1367.0776527620828,171.75446,1.0410156,1.0,13.0
1528.0181725862021,248.37811,0.10496521,1.0,29.0
1146.1454784289958,130.16608,0.7454834,1.0,15.0
1165.6743227207182,130.64302,0.3600464,1.0,24.0
1901.663470449555,137.52263,0.17599487,1.0,23.0
1902.7836150693374,190.37001,0.8243408,1.0,16.0
1842.5605616139082,109.30941,0.61901855,1.0,27.0
2135.2659679366266,226.87254,0.34954834,1.0,14.0
2453.7424712028433,62.696766,0.10681152,1.0,11.0
1701.5374962143503,150.41487,0.20645142,1.0,22.0
2028.802733220714,378.52136,0.7504883,1.0,33.0
2369.20257159106,241.57101,0.9827881,1.0,18.0
2145.7885365886136,147.29669,2.1054688,1.0,19.0
1936.5354325384185,144.55864,0.39837646,1.0,22.0
2239.5469028176426,553.47644,0.020664215,1.0,14.0
1675.075654403064,102.56677,0.381958,1.0,29.0
2196.1791245452546,367.03564,0.7944336,1.0,28.0
2282.4059346981785,308.04318,0.79418945,1.0,20.0
1823.3724057208817,97.52057,0.2935791,1.0,34.0
2046.7541046589274,138.41565,0.99316406,1.0,12.0
1922.178824693735,90.779236,1.6130371,1.0,33.0
2215.324953580394,179.77812,0.4333496,1.0,20.0
1938.6614550421891,228.5421,0.43029785,1.0,28.0
2186.0258301634913,92.1817,0.9951172,1.0,30.0
2142.9776789495754,261.54413,0.5802002,1.0,20.0
2829.9939585953894,264.85083,0.056045532,1.0,24.0
2511.545634981463,575.981,0.03462982,1.0,24.0
1492.6834181567317,61.882637,0.11369324,1.0,25.0
1975.0282453796024,464.3323,0.29089355,1.0,19.0
1731.8792778981924,71.303345,0.029159546,1.0,25.0
2091.851513570277,278.1153,0.4619751,1.0,35.0
1991.9618450626676,116.57998,0.5283203,1.0,15.0
1423.42589049822,147.45966,1.8081055,1.0,19.0
1317.6148423467157,118.898766,0.029327393,1.0,23.0
2699.987283969929,202.27507,0.44122314,1.0,27.0
1419.0525355545208,140.6517,0.019390106,1.0,24.0
2668.6775776782906,215.85954,1.3588867,1.0,14.0
2065.354624395761,245.03937,0.12225342,1.0,27.0
2554.798233439576,374.18228,0.23083496,1.0,32.0
581.0379988922532,160.81119,0.4393921,1.0,11.0
1999.5011894533711,72.45578,0.08139038,1.0,33.0
2486.481188573212,96.885605,0.81347656,1.0,24.0
2217.2151709251366,187.58154,0.5218506,1.0,10.0
1454.7782576134887,161.90013,1.0654297,1.0,12.0
2135.0592630096676,66.0795,1.081543,1.0,25.0
1953.5511507526091,143.68123,1.482666,1.0,23.0
1957.2320006379487,705.89954,0.9979248,1.0,23.0
1074.9686750960554,202.65236,0.24050903,1.0,24.0
2353.580701066152,261.62503,0.9473877,1.0,15.0
2185.9209326587634,341.55692,0.5571289,1.0,17.0
1708.4004816154404,299.87152,0.57055664,1.0,22.0
1943.74326940847,155.77681,1.2626953,1.0,13.0
2035.1418957518267,261.35196,0.184021,1.0,26.0
2112.6524633650206,67.68435,0.22503662,1.0,19.0
1655.3202359392635,262.48148,0.80529785,1.0,28.0
1787.9824250707125,178.00423,0.61657715,1.0,24.0
460.90898375447284,137.21234,0.50439453,1.0,24.0
2075.0057586922317,329.6397,0.13711548,1.0,18.0
